"[run number]","orange-yield","violet-merge-behind","spectator-mode","violet-displacement","orange-displacement","[step]","total-time"
"383","false","false","false","0","1.5","586","10000"
"382","false","false","false","0","1.5","598","10000"
"385","false","false","false","0","1.5","532","10000"
"384","false","false","false","0","1.5","607","10000"
"386","false","false","false","0","1.5","557","10000"
"389","false","false","false","0","1.5","503","10000"
"393","false","false","false","0","1.5","562","10000"
"388","false","false","false","0","1.5","681","10000"
"394","false","false","false","0","1.5","557","10000"
"395","false","false","false","0","1.5","511","10000"
"392","false","false","false","0","1.5","579","10000"
"396","false","false","false","0","1.5","501","10000"
"391","false","false","false","0","1.5","571","10000"
"387","false","false","false","0","1.5","927","927"
"397","false","false","false","0","1.5","542","10000"
"390","false","false","false","0","1.5","941","941"
"401","false","false","false","0","2","533","10000"
"400","false","false","false","0","1.5","506","10000"
"402","false","false","false","0","2","584","10000"
"404","false","false","false","0","2","509","10000"
"399","false","false","false","0","1.5","832","10000"
"403","false","false","false","0","2","502","10000"
"398","false","false","false","0","1.5","622","10000"
"410","false","false","false","0","2","508","10000"
"409","false","false","false","0","2","552","10000"
"405","false","false","false","0","2","664","10000"
"406","false","false","false","0","2","704","10000"
"411","false","false","false","0","2","528","10000"
"412","false","false","false","0","2","531","10000"
"407","false","false","false","0","2","855","855"
"414","false","false","false","0","2","519","10000"
"408","false","false","false","0","2","850","850"
"413","false","false","false","0","2","825","10000"
"417","false","false","false","0","2","538","10000"
"418","false","false","false","0","2","608","10000"
"415","false","false","false","0","2","870","870"
"421","false","false","false","0","2","505","10000"
"419","false","false","false","0","2","680","10000"
"425","false","false","false","0","2","550","10000"
"416","false","false","false","0","2","964","964"
"422","false","false","false","0","2","794","10000"
"428","false","false","false","0","2","623","10000"
"426","false","false","false","0","2","678","10000"
"424","false","false","false","0","2","785","10000"
"430","false","false","false","0","2","501","10000"
"429","false","false","false","0","2","502","10000"
"431","false","false","false","0","2","512","10000"
"420","false","false","false","0","2","1004","1004"
"423","false","false","false","0","2","963","963"
"427","false","false","false","0","2","923","923"
"433","false","false","false","0","2","600","10000"
"435","false","false","false","0","2","512","10000"
"432","false","false","false","0","2","779","779"
"436","false","false","false","0","2","582","10000"
"434","false","false","false","0","2","649","10000"
"438","false","false","false","0","2","528","10000"
"444","false","false","false","0","2","503","10000"
"446","false","false","false","0","2","509","10000"
"441","false","false","false","0","2","633","10000"
"437","false","false","false","0","2","965","965"
"447","false","false","false","0","2","540","10000"
"445","false","false","false","0","2","770","770"
"450","false","false","false","0","2","503","10000"
"439","false","false","false","0","2","951","951"
"448","false","false","false","0","2","502","10000"
"440","false","false","false","0","2","967","967"
"443","false","false","false","0","2","911","911"
"442","false","false","false","0","2","976","976"
"449","false","false","false","0","2","687","10000"
"453","false","false","false","0","2","525","10000"
"454","false","false","false","0","2","538","10000"
"455","false","false","false","0","2","526","10000"
"456","false","false","false","0","2","522","10000"
"451","false","false","false","0","2","956","956"
"461","false","false","false","0","2","503","10000"
"452","false","false","false","0","2","991","991"
"459","false","false","false","0","2","501","10000"
"457","false","false","false","0","2","560","10000"
"463","false","false","false","0","2","516","10000"
"464","false","false","false","0","2","579","10000"
"458","false","false","false","0","2","699","10000"
"466","false","false","false","0","2","530","10000"
"460","false","false","false","0","2","831","10000"
"468","false","false","false","0","2","511","10000"
"462","false","false","false","0","2","796","10000"
"467","false","false","false","0","2","503","10000"
"473","false","false","false","0","2","504","10000"
"471","false","false","false","0","2","509","10000"
"474","false","false","false","0","2","502","10000"
"472","false","false","false","0","2","537","10000"
"465","false","false","false","0","2","966","966"
"475","false","false","false","0","2","572","10000"
"469","false","false","false","0","2","902","902"
"479","false","false","false","0","2","530","10000"
"481","false","false","false","0","2","516","10000"
"470","false","false","false","0","2","915","915"
"478","false","false","false","0","2","640","10000"
"477","false","false","false","0","2","858","858"
"480","false","false","false","0","2","649","10000"
"483","false","false","false","0","2","515","10000"
"485","false","false","false","0","2","516","10000"
"486","false","false","false","0","2","504","10000"
"476","false","false","false","0","2","932","932"
"484","false","false","false","0","2","549","10000"
"488","false","false","false","0","2","507","10000"
"482","false","false","false","0","2","1000","1000"
"491","false","false","false","0","2","507","10000"
"492","false","false","false","0","2","559","10000"
"493","false","false","false","0","2","561","10000"
"495","false","false","false","0","2","541","10000"
"487","false","false","false","0","2","980","980"
"498","false","false","false","0","2","527","10000"
"496","false","false","false","0","2","581","10000"
"499","false","false","false","0","2","503","10000"
"500","false","false","false","0","2","549","10000"
"490","false","false","false","0","2","797","797"
"497","false","false","false","0","2","627","10000"
"494","false","false","false","0","2","699","10000"
"501","false","false","false","0","2.5","558","10000"
"489","false","false","false","0","2","802","10000"
"503","false","false","false","0","2.5","542","10000"
"504","false","false","false","0","2.5","501","10000"
"506","false","false","false","0","2.5","503","10000"
"502","false","false","false","0","2.5","685","10000"
"510","false","false","false","0","2.5","501","10000"
"507","false","false","false","0","2.5","585","10000"
"509","false","false","false","0","2.5","542","10000"
"505","false","false","false","0","2.5","644","10000"
"512","false","false","false","0","2.5","549","10000"
"511","false","false","false","0","2.5","557","10000"
"515","false","false","false","0","2.5","508","10000"
"516","false","false","false","0","2.5","513","10000"
"517","false","false","false","0","2.5","517","10000"
"514","false","false","false","0","2.5","801","801"
"513","false","false","false","0","2.5","899","899"
"508","false","false","false","0","2.5","980","980"
"519","false","false","false","0","2.5","605","10000"
"524","false","false","false","0","2.5","547","10000"
"521","false","false","false","0","2.5","612","10000"
"526","false","false","false","0","2.5","515","10000"
"518","false","false","false","0","2.5","806","806"
"523","false","false","false","0","2.5","832","832"
"522","false","false","false","0","2.5","872","872"
"520","false","false","false","0","2.5","919","919"
"530","false","false","false","0","2.5","501","10000"
"528","false","false","false","0","2.5","638","10000"
"527","false","false","false","0","2.5","937","937"
"531","false","false","false","0","2.5","573","10000"
"525","false","false","false","0","2.5","997","997"
"529","false","false","false","0","2.5","675","10000"
"533","false","false","false","0","2.5","533","10000"
"536","false","false","false","0","2.5","505","10000"
"535","false","false","false","0","2.5","628","10000"
"534","false","false","false","0","2.5","874","874"
"539","false","false","false","0","2.5","622","10000"
"542","false","false","false","0","2.5","506","10000"
"532","false","false","false","0","2.5","989","989"
"540","false","false","false","0","2.5","522","10000"
"544","false","false","false","0","2.5","546","10000"
"543","false","false","false","0","2.5","574","10000"
"537","false","false","false","0","2.5","952","952"
"548","false","false","false","0","2.5","511","10000"
"545","false","false","false","0","2.5","558","10000"
"538","false","false","false","0","2.5","910","910"
"541","false","false","false","0","2.5","1004","1004"
"550","false","false","false","0","2.5","501","10000"
"546","false","false","false","0","2.5","901","901"
"551","false","false","false","0","2.5","509","10000"
"547","false","false","false","0","2.5","923","923"
"553","false","false","false","0","2.5","523","10000"
"554","false","false","false","0","2.5","507","10000"
"557","false","false","false","0","2.5","507","10000"
"555","false","false","false","0","2.5","515","10000"
"552","false","false","false","0","2.5","694","10000"
"558","false","false","false","0","2.5","527","10000"
